Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito,Tension
1099.001000,17.220961,-0.355107,0.000229,-0.000000,-0.378344,-0.732985,0.057859,1.159784,0.000815,0.006921,2.259492
1100.000000,16.865732,-0.356075,0.000229,-0.000000,-0.378801,-0.733526,0.058245,1.166016,0.000843,0.006627,2.292797
1100.001000,16.865376,-0.356076,0.000229,-0.000000,-0.378802,-0.733526,0.058245,1.166022,0.000843,0.006627,2.292830
1101.000000,16.509134,-0.357137,0.000229,-0.000000,-0.379251,-0.734004,0.058623,1.172240,0.000873,0.006346,2.325543
1101.001000,16.508777,-0.357138,0.000229,-0.000000,-0.379251,-0.734004,0.058624,1.172247,0.000873,0.006346,2.325575
1102.000000,16.151423,-0.358302,0.000229,-0.000000,-0.379693,-0.734410,0.058994,1.178453,0.000903,0.006078,2.357692
1102.001000,16.151065,-0.358303,0.000229,-0.000000,-0.379694,-0.734410,0.058995,1.178460,0.000903,0.006078,2.357724
1103.000000,15.792492,-0.359578,0.000229,-0.000000,-0.380130,-0.734733,0.059358,1.184656,0.000935,0.005823,2.389242
1103.001000,15.792133,-0.359579,0.000229,-0.000000,-0.380130,-0.734734,0.059358,1.184662,0.000935,0.005823,2.389273
1104.000000,15.432226,-0.360975,0.000229,-0.000000,-0.380561,-0.734966,0.059713,1.190850,0.000967,0.005579,2.420188
1104.001000,15.431865,-0.360976,0.000229,-0.000000,-0.380561,-0.734966,0.059714,1.190856,0.000967,0.005579,2.420219
1105.000000,15.070498,-0.362502,0.000229,-0.000000,-0.380987,-0.735098,0.060061,1.197038,0.001001,0.005346,2.450530
